ID,Location-batiment,ROOM,Ground/Floor,Asset type,"Hostname/
Label",Name/Profile of current user,Brand/Model/Qty/HostSRV,Specs1,Specs2,Serial Number,Status,Vendor,Purchase date,"Purchase
price (TTC)",P.O. #,Last user,Notes
G,Cycle des Maternelles,AP,,AP,CycleMaternelle-AP3,,AIR-AP1815I-E-K9,192.168.20.33,bc:26:c7:c6:34:60,,In use,,,,,,
G,Cycle des Maternelles,AP,,AP,CycleMaternelle-AP6,,AIR-AP1815I-E-K9,192.168.20.92,bc:26:c7:c3:36:58,,In use,,,,,,
G,Art Plastic,Art Plastic salle 1,,AP,Art_plastic_salle1,,AIR-AP1815I-E-K9,192.168.20.124,bc:26:c7:c6:34:58,,In use,,,,,,
G,Cycle des Petits 2,BCD,,AP,PETIT2-GRD2-BCD,,AIR-AP1815I-E-K9,192.168.20.56,00:ea:bd:64:f0:18,,In use,,,,,,
G,Bureau de Sport,cantine direction,,AP,Bureaudesport G0_Cantine,,AIR-AP1815I-E-K9,192.168.20.18,bc:26:c7:c3:42:10,,In use,,,,,,
G,Cycle des Secondaires,cdr,,AP,CycleSecondaire-G0-CDR,,AIR-AP1815I-E-K9,192.168.20.55,bc:26:c7:c3:24:58,,In use,,,,,,
G,Art Plastic,Chapelle_St.Marcellin,,AP,Chapelle_St.Marcellin,,AIR-AP1815I-E-K9,192.168.20.39,bc:26:c7:c3:43:c0,,In use,,,,,,
G,Art Plastic,coder maker,,AP,CooderMaker,,AIR-AP1815I-E-K9,192.168.20.16,bc:26:c7:44:13:b8,,In use,,,,,,
G,Economat,COMPTABILITE,,AP,COMPTABILITE,,AIR-AP1815I-E-K9,192.168.20.58,bc:26:c7:44:24,,In use,,,,,,
G,Cycle des Petits 2,Coor Maths,,AP,CycleDesPetits-G1-CoorMaths,,AIR-AP1815I-E-K9,192.168.20.65,bc:26:c7:c3:0d:d0,,In use,,,,,,
G,Cycle des Petits 2,Coor Music,,AP,CycleDesPetits-G1-CoorMusic,,AIR-AP1815I-E-K9,192.168.20.54,bc:26:c7:19:82:58,,In use,,,,,,
G,Cycle des Benjamin,Couloire,,AP,Benjamin-GRD0-Couloire1,,AIR-AP1815I-E-K9,192.168.20.15,8b:0c:ff:1e:0e:58,,In use,,,,,,
G,Cycle des Benjamin,Couloire,,AP,Benjamin-GRD0-Couloire2,,AIR-AP1815I-E-K9,192.168.20.123,bc:26:c7:26:0d,,In use,,,,,,
G,Cycle des Benjamin,Couloire,,AP,Benjamin-GRD-1-Couloire1,,AIR-AP1815I-E-K9,192.168.20.35,bc:26:c7:c6:2e:80,,In use,,,,,,
G,Cycle des Benjamin,Couloire,,AP,CycleBenjamin-GRD0-Couloire3,,AIR-AP1815I-E-K9,192.168.20.123,bc:bb:cf:f1:0d,,In use,,,,,,
G,Cycle des Benjamin,Couloire,,AP,CycleBenjamin-GRD1-Couloire,,AIR-AP1815I-E-K9,192.168.20.139,bc:26:c7:c3:42:20,,In use,,,,,,
G,Cycle des Grands,couloire,,AP,CycleDesGrands-G0-Couloir1,,AIR-AP1815I-E-K9,192.168.20.109,bc:26:c7:44:24:30,,In use,,,,,,
G,Cycle des Grands,couloire,,AP,CycleDesGrands-G0-Couloir2,,AIR-AP1815I-E-K9,192.168.20.36,bc:26:c7:44:13:e0,,In use,,,,,,
G,Cycle des Maternelles,couloire,0,AP,Maternelle_GRD0_COULOIRE,,AIR-AP1815I-E-K9,192.168.20.29,bc:26:c7:19:68:f8,,In use,,,,,,
G,Cycle des Benjamin,CP A,0,AP,CycleBenjamin-GRD-1-CSA,,AIR-AP1815I-E-K9,192.168.20.17,bc:26:c7:44:12:18,,In use,,,,,,
G,Cycle des Benjamin,CP F,0,AP,CycleBenjamin-GRD0-CPF,,AIR-AP1815I-E-K9,192.168.20.42,b0:bb:c7:a3:27:58,,In use,,,,,,
G,Cycle des Terminales,depot,,AP,CycleDesTerminal-G-1-DEPOT-1,,AIR-AP1815I-E-K9,192.168.20.137,bc:26:c7:44:24:a0,,In use,,,,,,
G,Cycle des Minimes,EB2 C,,AP,CycleDesMinimes-GRD0-EB2C,,AIR-AP1815I-E-K9,192.168.20.61,bc:26:c7:c3:56:68,,In use,,,,,,
G,Cycle des Minimes,EB2 F,,AP,CycleDesMinimes-GRD0-EB2F,,AIR-AP1815I-E-K9,192.168.20.79,bc:26:c7:41:f0:00,,In use,,,,,,
G,Cycle des Minimes,EB3 A,,AP,CycleDesMinimes-GRD-1-EB3A,,AIR-AP1815I-E-K9,192.168.20.136,bc:26:c7:c3:43:58,,In use,,,,,,
G,Cycle des Minimes,EB3 C,,AP,CycleDesMinimes-GRD-1-EB3C,,AIR-AP1815I-E-K9,192.168.20.41,80:8b:cf:e4:6e:98,,In use,,,,,,
G,Cycle des Minimes,EB3 D,,AP,CycleDesMinimes-GRD-1-EB3D,,AIR-AP1815I-E-K9,192.168.20.52,bc:26:c7:c3:4b:88,,In use,,,,,,
